,start_date,reach,impressions,likes,comments
0,2023-01-21,111,138,6,0
1,2023-01-22,92,131,3,0
2,2023-01-23,78,162,0,0
3,2023-01-24,1058,1436,29,0
4,2023-01-25,517,722,15,0
5,2023-01-26,208,227,1,0
6,2023-01-27,188,289,14,0
7,2023-01-28,2258,2781,37,0
8,2023-01-29,764,861,10,0
9,2023-01-30,264,305,6,0
10,2023-01-31,3745,4262,103,1
11,2023-02-01,1054,1174,34,0
12,2023-02-02,483,610,12,0
13,2023-02-03,201,242,4,0
14,2023-02-04,145,169,1,0
15,2023-02-05,140,234,5,0
16,2023-02-06,314,533,3,0
17,2023-02-07,154,171,1,1
18,2023-02-08,125,174,1,1
19,2023-02-09,144,155,2,0
20,2023-02-10,195,233,6,0
21,2023-02-11,156,173,3,0
22,2023-02-12,112,224,3,0
23,2023-02-13,103,125,2,0
24,2023-02-14,81,105,6,0
25,2023-02-15,99,117,4,0
26,2023-02-16,133,157,4,0
27,2023-02-17,108,128,4,0
28,2023-02-18,90,114,0,0
29,2023-02-19,120,146,3,0
30,2023-02-20,194,240,4,0
31,2023-02-21,111,119,2,0
32,2023-02-22,208,385,0,0
33,2023-02-23,111,450,0,0
34,2023-02-24,238,272,3,0
35,2023-02-25,271,311,2,0
36,2023-02-26,146,165,2,0
37,2023-02-27,849,920,29,0
38,2023-02-28,650,718,5,0
39,2023-03-01,198,274,3,0
40,2023-03-02,307,405,5,0
41,2023-03-03,169,182,2,0
42,2023-03-04,196,248,1,0
43,2023-03-05,269,445,0,0
44,2023-03-06,384,587,8,0
45,2023-03-07,232,269,1,0
46,2023-03-08,159,174,4,0
47,2023-03-09,247,327,8,0
48,2023-03-10,293,321,1,0
49,2023-03-11,132,161,1,0
50,2023-03-12,116,137,2,0
51,2023-03-13,360,490,10,0
52,2023-03-14,182,240,1,0
53,2023-03-15,161,205,5,0
54,2023-03-16,144,234,1,0
55,2023-03-17,155,172,2,0
56,2023-03-18,130,145,2,0
57,2023-03-19,280,297,2,0
58,2023-03-20,588,706,33,4
59,2023-03-21,193,221,4,0
60,2023-03-22,121,138,1,0
61,2023-03-23,82,138,2,0
62,2023-03-24,82,101,0,0
63,2023-03-25,74,125,1,0
64,2023-03-26,348,485,13,0
65,2023-03-27,275,436,4,0
66,2023-03-28,103,246,2,0
