,start_date,reach,impressions,likes,comments
0,2023-03-31,706,831,24,2
1,2023-04-01,324,439,3,0
2,2023-04-02,198,228,4,0
3,2023-04-03,276,300,6,0
4,2023-04-04,157,165,4,0
5,2023-04-05,109,134,3,0
6,2023-04-06,375,514,16,0
7,2023-04-07,2904,3811,268,1
8,2023-04-08,1126,1351,106,1
9,2023-04-09,569,647,39,1
10,2023-04-10,258,310,19,0
11,2023-04-11,125,156,7,0
12,2023-04-12,135,170,2,1
13,2023-04-13,205,342,3,0
14,2023-04-14,251,291,7,0
15,2023-04-15,295,458,8,0
16,2023-04-16,208,249,8,0
17,2023-04-17,157,166,2,0
18,2023-04-18,1247,1553,80,3
19,2023-04-19,1164,1584,58,1
20,2023-04-20,507,761,22,0
21,2023-04-21,396,830,15,0
22,2023-04-22,198,265,5,0
23,2023-04-23,168,228,1,0
24,2023-04-24,420,537,9,0
25,2023-04-25,392,558,10,0
26,2023-04-26,280,321,3,0
27,2023-04-27,322,358,1,0
28,2023-04-28,378,553,10,1
29,2023-04-29,307,423,7,0
30,2023-04-30,169,193,7,0
31,2023-05-01,168,221,0,0
32,2023-05-02,39,50,0,0
