,impressions,date,reach,comments,likes
0,9308,2021-01-31,6448,0,0
1,8218,2021-02-01,6113,0,0
2,7979,2021-02-02,6071,0,0
3,5644,2021-02-03,4569,0,0
4,2066,2021-02-04,1554,0,0
5,1718,2021-02-05,1339,0,0
6,1696,2021-02-06,1318,0,0
7,3072,2021-02-07,2152,0,0
8,3832,2021-02-08,2431,0,0
9,3512,2021-02-09,2291,0,0
10,3383,2021-02-10,2316,0,0
11,3469,2021-02-11,2310,0,0
12,4357,2021-02-12,2656,0,0
13,4848,2021-02-13,2859,0,0
14,3580,2021-02-14,2338,0,0
15,2482,2021-02-15,1794,0,0
16,2680,2021-02-16,1840,0,0
17,2656,2021-02-17,1840,0,0
18,2547,2021-02-18,1837,0,0
19,1676,2021-02-19,1124,0,0
20,1151,2021-02-20,736,0,0
21,1034,2021-02-21,639,0,0
22,993,2021-02-22,613,0,0
23,693,2021-02-23,223,0,0
24,695,2021-02-24,199,0,0
25,680,2021-02-25,194,0,0
26,1839,2021-02-26,1314,0,0
27,2023,2021-02-27,1448,0,0
28,2076,2021-02-28,1480,0,0
29,2067,2021-03-01,1474,0,0
30,1747,2021-03-02,1458,0,0
31,1704,2021-03-03,1452,0,0
32,1763,2021-03-04,1456,0,0
33,595,2021-03-05,362,0,0
34,667,2021-03-06,202,0,0
35,624,2021-03-07,170,0,0
36,1640,2021-03-08,1133,0,0
37,1958,2021-03-09,1374,0,0
38,2861,2021-03-10,1700,0,0
39,3064,2021-03-11,1770,0,0
40,3671,2021-03-12,2011,0,0
41,3586,2021-03-13,2088,0,0
42,3620,2021-03-14,2113,0,0
43,3811,2021-03-15,2210,0,0
44,3706,2021-03-16,2178,0,0
45,2934,2021-03-17,1830,0,0
46,2678,2021-03-18,1753,0,0
47,2180,2021-03-19,1491,0,0
48,2063,2021-03-20,1428,0,0
49,2001,2021-03-21,1400,0,0
50,812,2021-03-22,366,0,0
51,599,2021-03-23,217,0,0
52,528,2021-03-24,188,0,0
53,1411,2021-03-25,928,0,0
54,1471,2021-03-26,1051,0,0
55,1484,2021-03-27,1081,0,0
56,1496,2021-03-28,1071,0,0
57,1480,2021-03-29,1053,0,0
58,1489,2021-03-30,1054,0,0
59,1435,2021-03-31,1046,0,0
60,618,2021-04-01,404,0,0
61,1304,2021-04-02,990,0,0
62,1381,2021-04-03,1088,0,0
63,1389,2021-04-04,1107,0,0
64,1393,2021-04-05,1107,0,0
65,1449,2021-04-06,1098,0,0
66,1465,2021-04-07,1102,0,0
67,1457,2021-04-08,1088,0,0
68,615,2021-04-09,356,0,0
69,872,2021-04-10,557,0,0
70,869,2021-04-11,553,0,0
71,895,2021-04-12,559,0,0
72,1347,2021-04-13,915,0,0
73,1444,2021-04-14,982,0,0
74,1484,2021-04-15,1006,0,0
75,1497,2021-04-16,1003,0,0
76,1086,2021-04-17,733,0,0
77,1100,2021-04-18,728,0,0
78,1095,2021-04-19,731,0,0
79,1536,2021-04-20,1001,0,0
80,2044,2021-04-21,1088,0,0
81,2715,2021-04-22,1438,0,0
82,4038,2021-04-23,2161,0,0
83,4463,2021-04-24,2325,0,0
84,4602,2021-04-25,2373,0,0
85,4630,2021-04-26,2389,0,0
86,3780,2021-04-27,2149,0,0
87,3343,2021-04-28,2141,0,0
88,4007,2021-04-29,2360,0,0
89,2749,2021-04-30,1626,0,0
90,2349,2021-05-01,1487,0,0
91,2274,2021-05-02,1446,0,0
92,5207,2021-05-03,3549,0,0
93,5555,2021-05-04,3821,0,0
94,5903,2021-05-05,3854,0,0
95,6310,2021-05-06,3802,0,0
96,6717,2021-05-07,3954,0,0
97,6756,2021-05-08,3927,0,0
98,6705,2021-05-09,3941,0,0
99,3708,2021-05-10,2261,0,0
100,3262,2021-05-11,2009,0,0
101,2725,2021-05-12,1813,0,0
102,947,2021-05-13,565,0,0
103,539,2021-05-14,213,0,0
104,482,2021-05-15,187,0,0
105,1292,2021-05-16,879,0,0
106,2595,2021-05-17,1503,0,0
107,2985,2021-05-18,1700,0,0
108,3076,2021-05-19,1742,0,0
109,3992,2021-05-20,2017,0,0
110,4104,2021-05-21,2071,0,0
111,4131,2021-05-22,2088,0,0
112,3321,2021-05-23,1768,0,0
113,3490,2021-05-24,1593,0,0
114,3687,2021-05-25,1673,0,0
115,3667,2021-05-26,1677,0,0
116,2880,2021-05-27,1322,0,0
117,2692,2021-05-28,1214,0,0
118,2672,2021-05-29,1203,0,0
119,2642,2021-05-30,1184,0,0
120,1355,2021-05-31,651,0,0
121,763,2021-06-01,232,0,0
122,673,2021-06-02,157,0,0
123,515,2021-06-03,139,0,0
124,600,2021-06-04,139,0,0
125,578,2021-06-05,129,0,0
126,557,2021-06-06,122,0,0
127,444,2021-06-07,103,0,0
128,1631,2021-06-08,883,0,0
129,2031,2021-06-09,1095,0,0
130,2065,2021-06-10,1161,0,0
131,1978,2021-06-11,1173,0,0
132,2012,2021-06-12,1182,0,0
133,2058,2021-06-13,1198,0,0
134,1996,2021-06-14,1212,0,0
135,818,2021-06-15,521,0,0
136,433,2021-06-16,247,0,0
137,382,2021-06-17,180,0,0
138,385,2021-06-18,165,0,0
139,351,2021-06-19,152,0,0
140,668,2021-06-20,465,0,0
141,772,2021-06-21,576,0,0
142,2194,2021-06-22,1744,0,0
143,2416,2021-06-23,1890,0,0
144,2406,2021-06-24,1905,0,0
145,2384,2021-06-25,1890,0,0
146,2382,2021-06-26,1890,0,0
147,2016,2021-06-27,1652,0,0
148,2745,2021-06-28,1959,0,0
149,1824,2021-06-29,1303,0,0
150,1704,2021-06-30,1267,0,0
151,1713,2021-07-01,1279,0,0
152,1797,2021-07-02,1282,0,0
153,1832,2021-07-03,1299,0,0
154,1875,2021-07-04,1330,0,0
155,1071,2021-07-05,750,0,0
156,560,2021-07-06,329,0,0
157,449,2021-07-07,227,0,0
158,424,2021-07-08,209,0,0
159,440,2021-07-09,288,0,0
160,520,2021-07-10,315,0,0
161,503,2021-07-11,309,0,0
162,652,2021-07-12,313,0,0
163,1781,2021-07-13,1127,0,0
164,1967,2021-07-14,1256,0,0
165,2020,2021-07-15,1280,0,0
166,1986,2021-07-16,1273,0,0
167,1876,2021-07-17,1258,0,0
168,2058,2021-07-18,1258,0,0
169,2321,2021-07-19,1343,0,0
170,1575,2021-07-20,849,0,0
171,1459,2021-07-21,751,0,0
172,1397,2021-07-22,714,0,0
173,1349,2021-07-23,700,0,0
174,1368,2021-07-24,700,0,0
175,1208,2021-07-25,733,0,0
176,3187,2021-07-26,2001,0,0
177,3622,2021-07-27,2099,0,0
