,value,end_time
0,5,2023-01-13T08:00:00+0000
1,2,2023-01-14T08:00:00+0000
2,0,2023-01-15T08:00:00+0000
3,1,2023-01-16T08:00:00+0000
4,4,2023-01-17T08:00:00+0000
5,2,2023-01-18T08:00:00+0000
6,2,2023-01-19T08:00:00+0000
7,4,2023-01-20T08:00:00+0000
8,1,2023-01-21T08:00:00+0000
9,2,2023-01-22T08:00:00+0000
10,3,2023-01-23T08:00:00+0000
11,5,2023-01-24T08:00:00+0000
12,2,2023-01-25T08:00:00+0000
13,4,2023-01-26T08:00:00+0000
14,2,2023-01-27T08:00:00+0000
15,23,2023-01-28T08:00:00+0000
16,11,2023-01-29T08:00:00+0000
17,4,2023-01-30T08:00:00+0000
18,6,2023-01-31T08:00:00+0000
19,8,2023-02-01T08:00:00+0000
20,3,2023-02-02T08:00:00+0000
21,7,2023-02-03T08:00:00+0000
22,1,2023-02-04T08:00:00+0000
23,6,2023-02-05T08:00:00+0000
24,6,2023-02-06T08:00:00+0000
25,1,2023-02-07T08:00:00+0000
26,4,2023-02-08T08:00:00+0000
27,0,2023-02-09T08:00:00+0000
