,impressions,date,reach
0,9308,2021-01-31,6448
1,8218,2021-02-01,6113
2,7979,2021-02-02,6071
3,5644,2021-02-03,4569
4,2066,2021-02-04,1554
5,1718,2021-02-05,1339
6,1696,2021-02-06,1318
7,3072,2021-02-07,2152
8,3832,2021-02-08,2431
9,3512,2021-02-09,2291
10,3383,2021-02-10,2316
11,3469,2021-02-11,2310
12,4357,2021-02-12,2656
13,4848,2021-02-13,2859
14,3580,2021-02-14,2338
15,2482,2021-02-15,1794
16,2680,2021-02-16,1840
17,2656,2021-02-17,1840
18,2547,2021-02-18,1837
19,1676,2021-02-19,1124
20,1151,2021-02-20,736
21,1034,2021-02-21,639
22,993,2021-02-22,613
23,693,2021-02-23,223
24,695,2021-02-24,199
25,680,2021-02-25,194
26,1839,2021-02-26,1314
27,2023,2021-02-27,1448
28,2076,2021-02-28,1480
29,2067,2021-03-01,1474
30,1747,2021-03-02,1458
31,1704,2021-03-03,1452
32,1763,2021-03-04,1456
33,595,2021-03-05,362
34,667,2021-03-06,202
35,624,2021-03-07,170
36,1640,2021-03-08,1133
37,1958,2021-03-09,1374
38,2861,2021-03-10,1700
39,3064,2021-03-11,1770
40,3671,2021-03-12,2011
41,3586,2021-03-13,2088
42,3620,2021-03-14,2113
43,3811,2021-03-15,2210
44,3706,2021-03-16,2178
45,2934,2021-03-17,1830
46,2678,2021-03-18,1753
47,2180,2021-03-19,1491
48,2063,2021-03-20,1428
49,2001,2021-03-21,1400
50,812,2021-03-22,366
51,599,2021-03-23,217
52,528,2021-03-24,188
53,1411,2021-03-25,928
54,1471,2021-03-26,1051
55,1484,2021-03-27,1081
56,1496,2021-03-28,1071
57,1480,2021-03-29,1053
58,1489,2021-03-30,1054
59,1435,2021-03-31,1046
60,618,2021-04-01,404
61,1304,2021-04-02,990
62,1381,2021-04-03,1088
63,1389,2021-04-04,1107
64,1393,2021-04-05,1107
65,1449,2021-04-06,1098
66,1465,2021-04-07,1102
67,1457,2021-04-08,1088
68,615,2021-04-09,356
69,872,2021-04-10,557
70,869,2021-04-11,553
71,895,2021-04-12,559
72,1347,2021-04-13,915
73,1444,2021-04-14,982
74,1484,2021-04-15,1006
75,1497,2021-04-16,1003
76,1086,2021-04-17,733
77,1100,2021-04-18,728
78,1095,2021-04-19,731
79,1536,2021-04-20,1001
80,2044,2021-04-21,1088
81,2715,2021-04-22,1438
82,4038,2021-04-23,2161
83,4463,2021-04-24,2325
84,4602,2021-04-25,2373
85,4630,2021-04-26,2389
86,3780,2021-04-27,2149
87,3343,2021-04-28,2141
88,4007,2021-04-29,2360
89,2749,2021-04-30,1626
90,2349,2021-05-01,1487
91,2274,2021-05-02,1446
92,5207,2021-05-03,3549
93,5555,2021-05-04,3821
94,5903,2021-05-05,3854
95,6310,2021-05-06,3802
96,6717,2021-05-07,3954
97,6756,2021-05-08,3927
98,6705,2021-05-09,3941
99,3708,2021-05-10,2261
100,3262,2021-05-11,2009
101,2725,2021-05-12,1813
102,947,2021-05-13,565
103,539,2021-05-14,213
104,482,2021-05-15,187
105,1292,2021-05-16,879
106,2595,2021-05-17,1503
107,2985,2021-05-18,1700
108,3076,2021-05-19,1742
109,3992,2021-05-20,2017
110,4104,2021-05-21,2071
111,4131,2021-05-22,2088
112,3321,2021-05-23,1768
113,3490,2021-05-24,1593
114,3687,2021-05-25,1673
115,3667,2021-05-26,1677
116,2880,2021-05-27,1322
117,2692,2021-05-28,1214
118,2672,2021-05-29,1203
119,2642,2021-05-30,1184
120,1355,2021-05-31,651
121,763,2021-06-01,232
122,673,2021-06-02,157
123,515,2021-06-03,139
124,600,2021-06-04,139
125,578,2021-06-05,129
126,557,2021-06-06,122
127,444,2021-06-07,103
128,1631,2021-06-08,883
129,2031,2021-06-09,1095
130,2065,2021-06-10,1161
131,1978,2021-06-11,1173
132,2012,2021-06-12,1182
133,2058,2021-06-13,1198
134,1996,2021-06-14,1212
135,818,2021-06-15,521
136,433,2021-06-16,247
137,382,2021-06-17,180
138,385,2021-06-18,165
139,351,2021-06-19,152
140,668,2021-06-20,465
141,772,2021-06-21,576
142,2194,2021-06-22,1744
143,2416,2021-06-23,1890
144,2406,2021-06-24,1905
145,2384,2021-06-25,1890
