month_date,reach,impressions
01-02-2021,6245,7799
01-03-2021,5689,7635
01-04-2021,7171,9522
01-05-2021,9357,13155
01-06-2021,4548,6125
01-07-2021,6284,8963
01-08-2021,10175,12880
01-09-2021,7501,11237
01-10-2021,7698,10200
01-11-2021,5960,9072
01-12-2021,5548,8410
01-01-2022,7533,10944
01-02-2022,2796,3829
01-03-2022,3910,5878
01-04-2022,3249,4154
01-05-2022,2673,3972
01-06-2022,1401,2353
01-07-2022,1710,2712
01-08-2022,2367,3651
01-09-2022,5022,6249
01-10-2022,7207,9667
01-11-2022,20599,25047
01-12-2022,3795,4976
01-01-2023,10998,11570
